place,Jurisdiction,Age,Females,Males,year
422,Aurora,35-39,12129.0,12536,2016.0
423,Bennett,35-39,40.0,115,2016.0
424,Black Hawk,35-39,7.0,11,2016.0
425,Boulder City,35-39,3118.0,3110,2016.0
426,Adams County,35-39,17600.0,18777,2016.0
427,Arapahoe County,35-39,21080.0,21240,2016.0
428,Boulder County,35-39,9912.0,10047,2016.0
429,Broomfield City/County,35-39,2553.0,2227,2016.0
430,Clear Creek County,35-39,256.0,320,2016.0
431,Denver City/County,35-39,26398.0,28362,2016.0
431,Denver City/County,35-39,26398.0,28362,2016.0
432,Douglas County,35-39,12073.0,11499,2016.0
433,Gilpin County,35-39,162.0,300,2016.0
434,Jefferson County,35-39,17979.0,18369,2016.0
435,Bow Mar,35-39,25.0,13,2016.0
436,Weld County,35-39,9692.0,10027,2016.0
437,Brighton,35-39,1115.0,1453,2016.0
438,Castle Pines,35-39,249.0,170,2016.0
439,Castle Rock,35-39,2302.0,2286,2016.0
440,Centennial,35-39,3211.0,3278,2016.0
441,Central City,35-39,16.0,25,2016.0
442,Cherry Hills Village,35-39,156.0,118,2016.0
443,Columbine Valley,35-39,20.0,22,2016.0
444,Commerce City,35-39,1909.0,2232,2016.0
445,Dacono,35-39,237.0,193,2016.0
446,Deer Trail,35-39,13.0,13,2016.0
447,Edgewater,35-39,189.0,231,2016.0
448,Elizabeth,35-39,29.0,58,2016.0
449,Empire,35-39,9.0,13,2016.0
450,Englewood,35-39,1071.0,1418,2016.0
451,Erie,35-39,1177.0,990,2016.0
452,Federal Heights,35-39,418.0,415,2016.0
453,Firestone,35-39,506.0,413,2016.0
454,Fort Lupton,35-39,329.0,315,2016.0
455,Foxfield,35-39,24.0,28,2016.0
456,Frederick,35-39,489.0,511,2016.0
457,Georgetown,35-39,32.0,43,2016.0
458,Glendale,35-39,183.0,163,2016.0
459,Golden,35-39,695.0,685,2016.0
459,Golden,35-39,695.0,685,2016.0
460,Greenwood Village,35-39,577.0,459,2016.0
461,Hudson,35-39,41.0,103,2016.0
462,Idaho Springs,35-39,51.0,23,2016.0
463,Jamestown,35-39,3.0,3,2016.0
464,Keenesburg,35-39,48.0,33,2016.0
